n, fronteraExacto, fronteraHConstructiva, fronteraBLocal, fronteraGrasp, tiempoHConstructiva, tiempoBLocal, tiempoGrasp
5, 9, 9, 9, 9, 4579, 799, 255766
25, 159, 49, 159, 159, 8707, 15635, 2340007
45, 509, 89, 509, 509, 12588, 45330, 6599348
65, 1059, 129, 1059, 1059, 17416, 87771, 13840865
85, 1809, 169, 1809, 1809, 20757, 145385, 18502881
105, 2759, 209, 2759, 2759, 25570, 224114, 27589924
125, 3909, 249, 3909, 3909, 38281, 313175, 40058038
145, 5259, 289, 5259, 5259, 32805, 399519, 49587383
165, 6809, 329, 6809, 6809, 31261, 467291, 60934499
185, 8559, 369, 8559, 8559, 29496, 507493, 74984551
205, 10509, 409, 10509, 10509, 33671, 619603, 79131168
225, 12659, 449, 12659, 12659, 40583, 767268, 119650619
245, 15009, 489, 15009, 15009, 37546, 787114, 95786618
265, 17559, 529, 17559, 17559, 39837, 915348, 132627558
285, 20309, 569, 20309, 20309, 42347, 1061915, 135395869
305, 23259, 609, 23259, 23259, 69550, 1225007, 154076825
325, 26409, 649, 26409, 26409, 52066, 1389596, 220001163
345, 29759, 689, 29759, 29759, 59634, 1552542, 224423856
365, 33309, 729, 33309, 33309, 57928, 1752512, 250572611
385, 37059, 769, 37059, 37059, 81790, 1897967, 269601649
405, 41009, 809, 41009, 41009, 67194, 2297442, 355504376
425, 45159, 849, 45159, 45159, 68650, 2398511, 308322116
445, 49509, 889, 49509, 49509, 80112, 2915351, 339707180
465, 54059, 929, 54059, 54059, 72457, 2910367, 420934437
485, 58809, 969, 58809, 58809, 79911, 3243525, 368351007
505, 63759, 1009, 63759, 63759, 89296, 3378759, 537316426
525, 68909, 1049, 68909, 68909, 85235, 3627095, 605999325
545, 74259, 1089, 74259, 74259, 90190, 3850473, 429417407
565, 79809, 1129, 79809, 79809, 90705, 4138356, 738089976
585, 85559, 1169, 85559, 85559, 101856, 4397760, 679938543
605, 91509, 1209, 91509, 91509, 98170, 4668042, 753580785
625, 97659, 1249, 97659, 97659, 107598, 4983021, 845311852
645, 104009, 1289, 104009, 104009, 105293, 5391367, 604646063
665, 110559, 1329, 110559, 110559, 105765, 5800068, 657351220
685, 117309, 1369, 117309, 117309, 111601, 6025537, 970352354
705, 124259, 1409, 124259, 124259, 127635, 6410886, 1021082786
725, 131409, 1449, 131409, 131409, 190969, 6683195, 805585374
745, 138759, 1489, 138759, 138759, 121137, 7071663, 1133310760
765, 146309, 1529, 146309, 146309, 128001, 7656188, 1161257799
785, 154059, 1569, 154059, 154059, 131559, 7860259, 1281725022
805, 162009, 1609, 162009, 162009, 125512, 8177836, 1141702020
825, 170159, 1649, 170159, 170159, 144338, 9188647, 1574055062
845, 178509, 1689, 178509, 178509, 167272, 9899966, 1103492482
865, 187059, 1729, 187059, 187059, 143616, 9466036, 1306113276
885, 195809, 1769, 195809, 195809, 152459, 9992704, 1559657271
905, 204759, 1809, 204759, 204759, 155644, 10708629, 1376331967
925, 213909, 1849, 213909, 213909, 158428, 11297807, 1820521680
945, 223259, 1889, 223259, 223259, 165117, 12029529, 1933984599
965, 232809, 1929, 232809, 232809, 166562, 12185275, 2003355055
985, 242559, 1969, 242559, 242559, 161890, 12650108, 1717227568
1005, 252509, 2009, 252509, 252509, 185295, 13373608, 1981163461
1025, 262659, 2049, 262659, 262659, 180854, 14704514, 1733520998
1045, 273009, 2089, 273009, 273009, 167058, 14076597, 2392334094
1065, 283559, 2129, 283559, 283559, 206471, 15732993, 2402923587
1085, 294309, 2169, 294309, 294309, 169590, 16449616, 2400330163
1105, 305259, 2209, 305259, 305259, 175116, 15636233, 2359136814
1125, 316409, 2249, 316409, 316409, 176897, 16347003, 2391695989
1145, 327759, 2289, 327759, 327759, 216750, 16586928, 2519703807
1165, 339309, 2329, 339309, 339309, 201190, 17402388, 3052873486
1185, 351059, 2369, 351059, 351059, 194159, 17647338, 2768279061
1205, 363009, 2409, 363009, 363009, 196223, 18483262, 2971766231
1225, 375159, 2449, 375159, 375159, 206342, 19962821, 2741989917
1245, 387509, 2489, 387509, 387509, 206138, 19768037, 3291578027
1265, 400059, 2529, 400059, 400059, 201348, 20673971, 3458937532
1285, 412809, 2569, 412809, 412809, 209336, 21651404, 3202971389
1305, 425759, 2609, 425759, 425759, 251144, 23225602, 3353543665
1325, 438909, 2649, 438909, 438909, 206707, 22154491, 3751923473
1345, 452259, 2689, 452259, 452259, 203612, 22850071, 4178709517
1365, 465809, 2729, 465809, 465809, 296581, 31750855, 5821501682
1385, 479559, 2769, 479559, 479559, 389141, 33834329, 4556731866
1405, 493509, 2809, 493509, 493509, 223989, 25124961, 4153249569
