k, promedioAcierto
6, 60
11, 55
16, 53
21, 52
26, 52
31, 51
36, 51
41, 51
46, 51
51, 51
56, 50
61, 50
66, 50
71, 50
76, 50
81, 50
86, 50
91, 50
96, 50
101, 50
106, 50
111, 50
116, 50
121, 50
126, 50
131, 50
136, 50
141, 50
146, 50
151, 50
156, 50
161, 50
166, 50
171, 50
176, 50
181, 50
186, 50
191, 50
196, 50
201, 50
206, 50
211, 50
216, 50
221, 50
226, 50
231, 50
236, 50
241, 50
246, 50
251, 50
256, 50
261, 50
266, 50
271, 50
276, 50
281, 50
286, 50
291, 50
296, 50
301, 50
306, 50
311, 50
316, 50
321, 50
326, 50
331, 50
336, 50
341, 50
346, 50
351, 50
356, 50
361, 50
366, 50
371, 50
376, 50
381, 50
386, 50
391, 50
396, 50
401, 50
406, 50
411, 50
416, 50
421, 50
426, 50
431, 50
436, 50
441, 50
446, 50
451, 50
456, 50
461, 50
466, 50
471, 50
476, 50
481, 50
486, 50
491, 50
496, 50
501, 50
506, 50
511, 50
516, 50
